书名,出版信息,当前价格,星级,评论数
 机器学习与R语言 (美)布雷特?兰茨(Brett Lantz)机械工业出版社 因书籍批量采集上架，套装书籍默认为其中一本。,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?69.30,width: 0%;,0条评论
 机器学习与R语言 (美)兰兹 著，李洪成，许金炜，李舰 译机械工业出版社9787111491576FX 正版书籍，放心下单。,(美)兰兹 著，李洪成，许金炜，李舰 译 /2015-03-01  /机械工业出版社,?68.10,width: 0%;,0条评论
 机器学习算法实践 王建芳清华大学出版社 正版现货，有问题请联系在线客服！,王建芳 /2018-11-01  /清华大学出版社,?65.60,width: 0%;,0条评论
 机器学习基础原理算法与实践 袁梅宇 9787302500148 ,袁梅宇 /2018-08-01  /清华大学出版社,?57.06,width: 0%;,0条评论
 机器学习-Python实践+Python数据分析入门-从数据获取到可视化+深度学习-基于Keras的Python实践 ,编者 /2018-01-01  /电子工业出版社,?168.00,width: 0%;,2条评论
 机器学习系统设计：Python语言实现 【正版图书，质量保证，可开发票，放心购买】,"[美] 戴维?朱利安（David Julian）,李洋 /2017-06-01  /机械工业出版社",?32.00,width: 0%;,0条评论
" 机器学习:Go语言实现 [美]丹尼尔?怀特纳克（DanielWhitenack）,谢文江, 9787111609797 正版现货，有问题请联系在线客服！","[美]丹尼尔?怀特纳克（DanielWhitenack）,谢文江, /2018-11-01  /机械工业出版社",?48.00,width: 0%;,0条评论
 机器学习基础―原理、算法与实践 袁梅宇 清华大学出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],袁梅宇 /2018-08-01  /清华大学出版社,?49.35,width: 0%;,0条评论
 机器学习vs复杂系统，许铁，电子工业出版社【正版图书 放心购 】 海量好书 达额立减 售后无忧,许铁 /2018-07-01  /电子工业出版社,?57.72,width: 0%;,0条评论
" 机器学习与R语言 [美] Brett Lantz,李洪成,许金炜,李舰 机械工业出版社 9787111491576 【正版现货 可开发票 下单即发】请看详情，有问题咨询在线客服或者电话联系我们！","[美] Brett Lantz,李洪成,许金炜,李舰 /2015-04-01  /机械工业出版社",?68.00,width: 0%;,0条评论
 机器学习实战（python基础教程指南）+机器学习（机器学习套装共两册） [美]哈林顿 【文轩正版图书】,[美]哈林顿 /2013-06-01  /人民邮电出版社 等,?108.40,width: 100%;,95条评论
" 【新华书店】机器学习,(美)詹森?贝尔(Jason Bell) 著;邹伟,王燕妮 译,机械工业出版社, 9787111 ","(美)詹森?贝尔(Jason Bell) 著;邹伟,王燕妮 /2018-04-01  /机械工业出版社",?69.75,width: 0%;,0条评论
 机器学习实战+机器学习 周志华 全2册 python机器学习基础核心教 ,Peter harrington /2018-01-01  /人民邮电出版社,?136.50,width: 0%;,0条评论
 机器学习实战+python机器学习基础教程人工智能深度学习机器学习 ,Harry J.W. Percival /2017-01-01  /人民邮电出版社,?101.00,width: 0%;,0条评论
 机器学习 GO语言实现 机械工业出版社 [有问题请联系在线客服],(美)丹尼尔?怀特纳克(Daniel Whitenack) /2018-10-01  /机械工业出版社,?40.30,width: 0%;,0条评论
 【新华书店】机器学习系统设计:Python语言实现 9787111569459 [美] 戴维?朱利安(David Ju 正版现货 满5件包邮,[美] 戴维?朱利安(David Julian) /2017-06-01  /机械工业出版社,?53.33,width: 0%;,0条评论
 机器学习实战（python基础教程指南）python机器概念书籍 计算机电脑程序设计开发 人工智能开机器学习实战/图灵 ,Peter harrington /2019-09-30  /人民邮电出版社,?66.00,width: 0%;,0条评论
 机器学习实战 【正版书籍，有问题请随时联系在线客服】(支持7天无理由退货！！),"[美] Peter Harrington ,李锐,李鹏,曲亚东,王 /2013-06-01  /人民邮电出版社",?25.00,width: 0%;,0条评论
 机器学习实战美团机器学习实践全2册计算机电脑程序设计开发人工智能开发程序算法机器学习实践人工智能籍深度学习无广东高等教 正版书籍放心购买！书籍和图片不符的以标题为准！提供发票!,王先国，罗中良 著 /2010-10-01  /广东高等教育出版社,?169.97,width: 0%;,0条评论
 机器学习与R语言 (美)兰兹 著，李洪成，许金炜，李舰 译机械工业出版社 正版现货，有问题请联系在线客服！,(美)兰兹 著，李洪成，许金炜，李舰 译 /2015-03-01  /机械工业出版社,?74.85,width: 0%;,0条评论
" [正版现货]机器学习及其应用2019,于剑，封举富，张敏灵，俞扬 编,清华大学出版社,9787302544357 满5件包邮",于剑，封举富，张敏灵，俞扬 编 /2019-12-01  /清华大学出版社,?62.24,width: 0%;,0条评论
 机器学习与R语言(原书第2版) (美)布雷特?兰茨(Brett Lantz) 9787111553281 机械工业出版 【正版品好 可开发票 支持退货 多买优惠】请看详情，有问题咨询在线客服或者电话联系我们！,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?68.00,width: 0%;,0条评论
 机器学习：实用技术指南 詹森?贝尔 机械工业出版社 正版书籍，放心下单,[美] 詹森?贝尔（Jason Bell） 著，邹伟 王燕妮 /2018-05-01  /机械工业出版社,?46.00,width: 0%;,0条评论
 机器学习与R语言(原书第2版)(美)布雷特?兰茨(Brett Lantz) 新书店购书无忧有保障！,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?140.00,width: 0%;,0条评论
 机器学习实战+美团机器学习实践 人工智能机器学习经典教程基于Python代码 ,绍 /2014-05-01  /人民邮电出版社,?149.85,width: 0%;,0条评论
" 【新华书店rt】机器学习算法,[意]朱塞佩?博纳科尔索(Giuseppe Bonaccorso),机械工业出版社,97 ",[意]朱塞佩?博纳科尔索(Giuseppe Bonaccor /2018-05-01  /机械工业出版社,?63.42,width: 0%;,0条评论
 机器学习与深度学习算法基础 图解13种经典机器学习算法+4种深度学习模型 贾壮 著 北京大学出版社 正版新书 保证质量 七天退换 放心购买,贾壮 著 /2020-08-01  /北京大学出版社,?65.00,width: 0%;,0条评论
 机器学习实战（python基础教程指南）【新华书店 品质担当】 评价有礼 部分书籍满88包邮 全国就近发货 85%城市次日送达！,"[美] Peter Harrington,李锐,李鹏,曲亚东 等 /2013-06-01  /人民邮电出版社",?66.20,width: 0%;,0条评论
 机器学习与R语言(原书第2版) (美)布雷特?兰茨(Brett Lantz) 机械工业出版社 正版书籍！好评联系客服有优惠！谢谢！,(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?40.00,width: 0%;,0条评论
 【新华书店】机器学习实战 [美] Peter Harrington 著，李锐，*，曲亚东，王 人民邮电出版社 9787 正版现货 满5件包邮,[美] Peter Harrington 著，李锐，李鹏， /2013-06-01  /人民邮电出版社,?63.37,width: 0%;,0条评论
 机器学习与R语言 (美)兰兹 著，李洪成，许金炜，李舰 译机械工业出版社9787111491576FX 正版图书，可开发票。,(美)兰兹 著，李洪成，许金炜，李舰 译 /2015-03-01  /机械工业出版社,?68.10,width: 0%;,0条评论
 【全2册】机器学习经典算法剖析 基于OpenCV+图像局部特征检测和描述 基于OpenCV源码分析的算法与实现 ,赵春江 /2018-08-01  /人民邮电出版社,?105.00,width: 0%;,3条评论
 机器学习+机器学习实战 击败AlphaGo的武林秘籍赢得人机大战的必由之路周志华教授机器学习与R语言西瓜 ,(美)Harrington /2018-01-01  /人民邮电出版社,?162.93,width: 0%;,0条评论
 【正版现货】机器学习:使用OpenCV和Python进行智能图像处理 王磊 9787111611516 机械工业出版社 ,王磊 /2018-11-01  /机械工业出版社,?69.40,width: 0%;,0条评论
 【正版现货】 机器学习算法原理与编程实践 9787121273674 郑捷 著 电子工业出版社 此书为正版图书，正常48小时内发货，提供发票，请放心购买，团购量大请联系在线客服或15671107107,郑捷 著 /2015-10-01  /电子工业出版社,?77.20,width: 0%;,0条评论
 机器学习算法原理与编程实践 郑捷 著 9787121273674 电子工业出版社 ,郑捷 著 /2015-10-01  /电子工业出版社,?52.85,width: 0%;,0条评论
" 【正版全新直发】机器学习与R语言 [美] Brett Lantz,李洪成,许金炜,李舰 机械工业出版社97871114 全店商品满3件包邮","[美] Brett Lantz,李洪成,许金炜,李舰 /2015-04-01  /机械工业出版社",?68.88,width: 0%;,0条评论
 【新华书店】【新华书店】机器学习导论米罗斯拉夫.库巴特 著，王勇 译机械工业出版社9787111605812 现货 满5件包邮,米罗斯拉夫.库巴特 著，王勇 译 /2018-10-01  /机械工业出版社,?72.52,width: 0%;,0条评论
 机器学习实战（python基础教程指南）机器学习书籍python基础教程书python实战与机器学习基础入门pytho ,Peter harrington /2017-09-01  /人民邮电出版社,?70.72,width: 0%;,0条评论
 机器学习系统设计python语言实现 [美] 戴维?朱利安(David Julian) 9787111569459 ,[美] 戴维?朱利安(David Julian) /2017-06-01  /机械工业出版社,?45.25,width: 0%;,0条评论
 机器学习实战（python基础教程指南）机器学习书籍python基础教程书python实战与机器学习基础入门pytho ,Peter harrington /2018-01-01  /人民邮电出版社,?70.72,width: 0%;,0条评论
 机器学习及其应用2019 于剑，封举富，张敏灵，俞扬 编 清华大学出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],于剑，封举富，张敏灵，俞扬 编 /2019-12-01  /清华大学出版社,?47.98,width: 0%;,0条评论
 机器学习实战（python基础教程指南）+机器学习（机器学习套装共两册）【新华书店 品质担当】 评价有礼 部分书籍满88包邮 全国就近发货 85%城市次日送达！,"[美] Peter Harrington,李锐,李鹏,曲亚东 等 /2013-06-01  /人民邮电出版社",?150.70,width: 0%;,0条评论
 【正版全新直发】机器学习实践指南 ［英］阿图尔?特里帕蒂 9787111592129 机械工业出版社 ,［英］阿图尔?特里帕蒂 /2017-03-01  /机械工业出版社,?78.78,width: 0%;,0条评论
 机器学习经典算法剖析 基于OpenCV 赵春江 著 人民邮电出版社 【正版书籍 闪电发货 优质服务 电子发票 放心下单】,赵春江 著 /2018-08-01  /人民邮电出版社,?69.00,width: 0%;,0条评论
 机器学习：使用OpenCV和Python进行智能图像处理 [美] 迈克尔?贝耶勒（Michael Beyeler） 著 ,[美] 迈克尔?贝耶勒（Michael Beyeler） 著 /2018-11-01  /机械工业出版社,?61.00,width: 0%;,0条评论
 机器学习*发者指南 基于Python语言机器学习实战 人工智能 神经网络 自然语言处理机器学习算法 ,鲁道夫?邦宁 /2020-03-02  /人民邮电出版社,?44.50,width: 0%;,0条评论
 机器学习系统设计:Python语言实现 [美] 戴维?朱利安(David Julian)机械工业出版社 正版现货，有问题请联系在线客服！,[美] 戴维?朱利安(David Julian) /2017-06-01  /机械工业出版社,?51.50,width: 0%;,0条评论
" 机器学习 Peter Harrington“,“李锐“,“*“,“曲亚东 9787115317957 人民邮电 正版图 收藏店铺 快速发货 大秦书店经营范围：正版纸质书，电子出版物，开具发票。欢迎光临！",Peter Harrington 李锐 * 曲亚东 /2010-01-01  /人民邮电出版社,?47.08,width: 0%;,0条评论
 机器学习:使用OpenCV和Python进行智能图像处理 王磊 译机械工业出版社9787111611516FX 正版书籍，放心下单。,王磊 译 /2018-11-01  /机械工业出版社,?76.80,width: 0%;,0条评论
" 【全新现货】机器学习实战 [美] Peter Harrington,李锐,*,曲亚东 等 9787115317957 ","[美] Peter Harrington,李锐,李鹏,曲亚东 等 /2013-06-01  /人民邮电出版社",?68.28,width: 0%;,0条评论
" 机器学习与R语言,机械工业出版社, Brett Lantz 著，李洪成，许金炜，李舰 译 正版书籍，放心下单",(美)兰兹 著，李洪成，许金炜，李舰 译 /2015-03-01  /机械工业出版社,?52.00,width: 0%;,0条评论
" 【新华书店rt】机器学习实践指南,[英]阿图尔?特里帕蒂（AtulTripathi）,王?床芙ㄑ?,机械工业出版社,97 ","[英]阿图尔?特里帕蒂（AtulTripathi）,王?床芙? /2018-04-01  /机械工业出版社",?72.32,width: 0%;,0条评论
 机器学习及其应用2019 于剑，封举富，张敏灵，俞扬 编 9787302544357【正版现货 闪电发货】 正版保证，可开发票 全国三仓发货 物流有保障！,于剑，封举富，张敏灵，俞扬 编 /2019-12-01  /清华大学出版社,?55.20,width: 0%;,0条评论
" 机器学习与R语言(原书第2版),布雷特?兰茨,机械工业出版社【正版图书 放心购 】 海量好书 达额立减 售后无忧",(美)布雷特?兰茨(Brett Lantz) /2017-03-01  /机械工业出版社,?67.62,width: 0%;,0条评论
 机器学习算法原理与编程实践 郑捷 著 电子工业出版社【正版书籍，品质保障，售后无忧】 保证正版现货图书，放心购买，有任何问题及时联系在线客服!,郑捷 著 /2015-10-01  /电子工业出版社,?30.13,width: 0%;,0条评论
" 机器学习入门到实战―MATLAB 实践应用 冷雨泉,张会文,张伟 9787302495147 [正版图书，放心购买，发货特快，质量保障]","冷雨泉,张会文,张伟 /2019-02-01  /清华大学出版社",?43.10,width: 0%;,0条评论
 【正版包邮】随机送书签- 机器学习实战 [美] Peter Harrington 著，李锐，*，曲亚东，王 97871 此书为正版图书，正常48小时内发货，提供发票，请放心购买，团购量大请联系在线客服或15671107107,[美] Peter Harrington 著，李锐，李鹏， /2013-06-01  /人民邮电出版社,?50.10,width: 0%;,0条评论
 【正版全新直发】机器学习实践指南 ［英］阿图尔?特里帕蒂 9787111592129 机械工业出版社 全店商品满3件包邮,［英］阿图尔?特里帕蒂 /2017-03-01  /机械工业出版社,?78.98,width: 0%;,0条评论
 机器学习实战 [美] Peter Harrington 著，李锐，*，曲亚东，王 人民邮电出版社 【正版书籍 闪电发货 优质服务 电子发票 放心下单】,[美] Peter Harrington 著，李锐，李鹏， /2013-06-01  /人民邮电出版社,?40.71,width: 0%;,0条评论
 机器学习算法实践，王建芳，清华大学出版社，【正版现货 闪电发货】 正版保证 可开发票 全国三仓发货 百分之八十城市次日即达!,王建芳 /2018-11-01  /清华大学出版社,?51.75,width: 0%;,0条评论
 机器学习算法原理与编程实践 郑捷 9787121273674 电子工业出版社 正版书籍，放心下单,郑捷 著 /2015-10-01  /电子工业出版社,?87.70,width: 0%;,0条评论
 机器学习中的数学 人工智能数学基础知识书籍 机器学习方法ai算法线性代数python机器学习入门教程计算机深度学习数据 ,王海燕，胡以怀编 /2020-05-26  /上海浦江教育出版社,?73.57,width: 0%;,0条评论
 【全2册】机器学习实战：基于Scikit-Learn和TensorFlow+机器学习与应用 雷明著9787302514 ,暂无 /2018-08-01  /机械工业出版社 清华大学出版社,?200.00,width: 0%;,1条评论
 【正版直发】机器学习系统设计:Python语言实现 [美] 戴维?朱利安(David Julian) 机械工业出版社 正版书籍，放心下单,[美] 戴维?朱利安(David Julian) /2017-06-01  /机械工业出版社,?31.00,width: 0%;,0条评论
 机器学习入门到实战―MATLAB 实践应用 冷雨泉，张会文，张伟 著清华大学出版社 因书籍批量采集上架，套装书籍默认为其中一本。,冷雨泉，张会文，张伟 著 /2019-02-01  /清华大学出版社,?59.25,width: 0%;,0条评论
 机器学习线性代数基础 Python语言描述 张雨萌 著 9787301306017 【正版图书，质量保证，可开发票，放心购买】,张雨萌 著 /2019-08-01  /北京大学出版社,?61.00,width: 0%;,0条评论
 机器学习算法实践 王建芳 9787302507833 ,王建芳 /2018-11-01  /清华大学出版社,?57.06,width: 0%;,0条评论
 机器学习实战+python机器学习基础教程人工智能深度学习机器学习入门书籍神经网络与深度学习AI圣经 ,Harry J.W. Percival /2010-01-01  /人民邮电出版社,?149.80,width: 0%;,0条评论
 【全4册】机器学习+深入理解机器学习：从原理到算法+机器学习+深度学习 ,暂无 /2018-01-25  /人民邮电出版社,?315.00,width: 0%;,2条评论
 【正版现货】机器学习实战 [美] Peter Harrington 著，李锐，*，曲亚东，王 人民邮电出版社 9787 请注意售价高于定价，正常48小时内发货，提供发票，收到书籍后有任何问题联系在线客服或致电13581544457,[美] Peter Harrington 著，李锐，李鹏， /2013-06-01  /人民邮电出版社,?60.03,width: 0%;,0条评论
 机器学习基础――原理、算法与实践 袁梅宇 正版现货，放心购买，请注意售价与定价，有任何问题及时联系在线客服!,袁梅宇 /2018-08-01  /清华大学出版社,?62.00,width: 0%;,0条评论
 机器学习:使用OpenCV和Python进行智能图像处理 王磊 译 机械工业出版社 【正版书籍 闪电发货 优质服务 电子发票 放心下单】,王磊 译 /2018-11-01  /机械工业出版社,?69.00,width: 0%;,0条评论
" [正版现货]机器学习:从公理到算法,于剑,清华大学出版社,9787302471363 满5件包邮",于剑 /2017-07-01  /清华大学出版社,?80.16,width: 0%;,0条评论
" 【新华书店rt】机器学习:使用OpenCV和Python进行智能图像处理,王磊 译,机械工业出版社, 97871116 ",王磊 译 /2018-11-01  /机械工业出版社,?63.42,width: 0%;,0条评论
 【新华书店】机器学习与R语言 9787111491576 [美] Brett Lantz 著，李洪成，许金炜，李舰 译 正版现货 满5件包邮,[美] Brett Lantz 著，李洪成，许金炜，李舰 译 /2015-04-01  /机械工业出版社,?62.33,width: 0%;,0条评论
" 机器学习实践指南,[英]阿图尔?特里帕蒂（AtulTripathi）,王?床芙ㄑ?,机械工业出版社,9787111592 [正版书籍,放心购买]","[英]阿图尔?特里帕蒂（AtulTripathi）,王?床芙ㄑ? /2018-04-01  /机械工业出版社",?64.31,width: 0%;,0条评论
 机器学习与大数据技术,牟少敏 /2018-08-01  /人民邮电出版社,?29.99,width: 100%;,46条评论
 机器学习及应用(在线实验+在线自测),李克清 时允田 /2019-05-01  /人民邮电出版社有限公司,?30.90,width: 0%;,3条评论
" Spark MLlib机器学习实践（第2版） Spark MLlib机器学习案例精彩讲解,让您轻松掌握",王晓华 /2017-03-01  /清华大学出版社,?22.10,width: 100%;,252条评论
 机器学习案例实战,赵卫东  /人民邮电出版社有限公司,?37.20,width: 0%;,14条评论
 人工智能开发实践：云端机器学习导论（英文版） 讲解Amazon、Google和Microsoft公司的强大云服务产品，以及如何运用它们构建云端机器学习应用程序。,Noah Gift[美]挪亚?吉夫特 /2020-05-10  /机械工业出版社,?54.50,width: 0%;,7条评论
 机器学习与数据科学 基于R的统计学习方法(异步图书),（美）Daniel D. Gutierrez 古铁雷斯 /2017-05-01  /人民邮电出版社,?14.99,width: 0%;,22条评论
 机器学习系统设计：Python语言实现,（美）戴维?朱利安（David Julian） /2017-05-01  /机械工业出版社,?25.00,width: 100%;,57条评论
 机器学习方法,蒋艳凰 /2009-08-01  /电子工业出版社,?15.60,width: 0%;,0条评论
 Python机器学习 硅谷热门技术图书，Amazon广泛好评，Python机器学习入门*,（美）塞巴斯蒂安?拉施卡（Sebastian Raschka） /2017-03-14  /机械工业出版社,?62.40,width: 90%;,1328条评论
 精通Java机器学习（影印版） ,Uday Kamath /2018-10-01  /东南大学出版社,?85.30,width: 0%;,13条评论
 Python机器学习入门（影印版） ,(美)安德烈亚斯?穆勒//莎拉?圭多 /2017-01-01  /东南大学出版社,?70.30,width: 100%;,185条评论
 Python机器学习（影印版） ,(美)塞巴斯蒂安?拉什卡 /2017-05-01  /东南大学出版社,?68.70,width: 90%;,101条评论
 白话机器学习的数学 Python机器学习AI人人工智能入门教程 深度学习算法大数据挖掘教程 机器学习 ,[日]立石贤吾 /2020-06-25  /人民邮电出版社,?46.00,width: 0%;,1条评论
 机器学习算法(原书第2版),（意）朱塞佩?博纳科尔索（Giuseppe Bonaccorso）  /机械工业出版社,?64.35,width: 0%;,7条评论
 大数据分析师权威教程 机器学习、大数据分析和可视化 ,Wrox国际IT认证项目组 /2017-07-01  /人民邮电出版社,?53.00,width: 90%;,749条评论
 Python项目案例开发从入门到实战――爬虫、游戏和机器学习 600分钟视频讲解，案例涉及爬虫、游戏、机器学习、深度学习,郑秋生、夏敏捷、宋宝卫、李娟 /2018-12-05  /清华大学出版社,?35.90,width: 100%;,1181条评论
 机器学习实战：基于Sophon平台的机器学习理论与实践,星环科技人工智能平台团队  /机械工业出版社,?51.35,width: 0%;,5条评论
 Python 3 数据分析与机器学习实战 一本真正全景式讲透Python 3理论、技术与项目实战的图书。29个大型真实项目案例，94节同步微视频讲解，30小时Python 3语法教学视频,龙马高新教育 /2018-08-15  /北京大学出版社,?53.40,width: 100%;,1026条评论
 百面机器学习 算法工程师带你去面试 程序员面试宝典人工智能ai机器学习深度学习入门计算机编程图书趣学算法 人工智能时代程序员不可不读机器学习面试宝典 微软副总裁沈向洋 浪潮之巅 数学之美作者吴军 计算广告作者刘鹏 联袂推荐,诸葛越 葫芦娃 /2018-08-01  /人民邮电出版社,?87.22,width: 100%;,127条评论
 Spark MLlib机器学习：算法、源码及实战详解 ,黄美灵 著 /2016-03-01  /电子工业出版社,?54.50,width: 90%;,1081条评论
 人工智能开发丛书--数据挖掘与机器学习：PMML建模（下） 当前国内独一关于数据挖掘和机器学习语言PMML的图书,潘风文，黄春芳 著 /2020-09-01  /化学工业出版社,?49.50,width: 0%;,1条评论
 机器学习方法在磷酸铝分子筛定向合成中的应用(仅适用PC阅读),齐妙 /2013-11-01  /清华大学出版社,?22.99,width: 100%;,1条评论
 机器学习实践指南：案例应用解析,麦好 /2014-04-01  /机械工业出版社,?23.15,width: 0%;,10条评论
 机器学习及其应用2017,"高阳,陈松灿 /2017-11-01  /清华大学出版社",?25.99,width: 100%;,5条评论
" 机器学习从认知到实践(第2辑)(套装共3册,Python+TensorFlow)","（美） Alexander T. Combs,（阿根廷）Rodolfo Bonnin,李嘉璇 /2017-01-01  /人民邮电出版社",?135.99,width: 0%;,22条评论
 机器学习实践指南：案例应用解析（第2版）,麦好 /2016-07-01  /机械工业出版社,?54.94,width: 100%;,13条评论
 机器学习实践应用,李博 /2017-07-01  /人民邮电出版社,?28.99,width: 0%;,29条评论
 机器学习及其应用2013(仅适用PC阅读),"张长水,杨强 /2013-10-01  /清华大学出版社",?21.99,width: 90%;,7条评论
 机器学习与R语言实战,丘?v玮 /2016-04-01  /机械工业出版社,?25.00,width: 90%;,16条评论
" 机器学习从认知到实践(第1辑)(套装共3册,Python+R)","（美）Alexander T. Combs,（美）鲍尔斯 著,（美）威利 /2017-01-01  /人民邮电出版社",?149.99,width: 100%;,8条评论
 决策用强化与系统性机器学习 侧重机器学习和系统性机器学习。,[ 印度 ]巴拉格?库尔卡尼（Parag Kulkarni） /2015-07-01  /机械工业出版社,?62.40,width: 80%;,109条评论
" 实用机器学习 Henrik Brink, Joseph W. Richards, Mark Fetherolf机械工业 正版现货，有问题请联系在线客服！","Henrik Brink, Joseph W. Richar /2017-06-01  /机械工业出版社",?74.85,width: 0%;,0条评论
 【新华书店】精通机器学习 基于R 第2版[美]考瑞?莱斯米斯特尔9787115477781 【新华书店，全新正版书籍，品质保障】,[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?57.95,width: 0%;,0条评论
" 实用机器学习 Henrik Brink, Joseph W. Richards, Mark Fetherolf 机械工 【正版图书 质量保证 下单速发 可开发票】","Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?31.00,width: 0%;,0条评论
" 实用机器学习 Henrik Brink, Joseph W. Richards, Mark Fetherolf 978 ","Henrik Brink, Joseph W. Richar /2017-06-01  /机械工业出版社",?61.00,width: 0%;,0条评论
 精通机器学习 基于R 第2版 考瑞?莱斯米斯特尔 人民邮电出版社 9787115477781 正版书籍！好评联系客服有优惠！谢谢！,[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?49.00,width: 0%;,2条评论
 精通机器学习:基于R(第2版)【新华书店 品质担当】 评价有礼 部分书籍满88包邮 全国就近发货 85%城市次日送达！,[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?63.50,width: 0%;,0条评论
" 基于机器学习算法的分类知识发现及其在文本分析中的应用祁瑞华 著清华大学出版社【直发】 【保证正版,可开发票,发货特快】",祁瑞华 著 /2000-01-01  /清华大学出版社,?59.65,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用祁瑞华 著清华大学出版社9787302415763【直发】 新华品质 评价有礼 全国多仓就近发货 85%城市次日送达！,祁瑞华 /2015-12-01  /清华大学出版社,?57.23,width: 0%;,0条评论
" 实用机器学习9787111569220 Henrik Brink, Joseph W. Richards, Mark 请注意售价高于定价，正常48小时内发货，提供发票，收到书籍后有任何问题联系在线客服或致电13581544457","Henrik Brink, Joseph W. Richar /2017-06-01  /机械工业出版社",?53.43,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用9787302415763清华大学出版社【直发】 ,祁瑞华 著 /2000-01-01  /清华大学出版社,?60.53,width: 0%;,0条评论
 美团机器学习实践 美团点评算法技术人工智能技术 O2O服务平台 互联网企业机器学习算法应用 AI算法工程师业务培训f教 ,无 /2020-05-25  /人民邮电出版社,?53.98,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用祁瑞华 著清华大学出版社9787302415763[正版图书]【正 ,祁瑞华 著 /2000-01-01  /清华大学出版社,?55.00,width: 0%;,0条评论
 【新华书店】精通机器学习 基于R 第2版 9787115477781 [美]考瑞?莱斯米斯特尔 人民邮电出版社 正版现货 满5件包邮,[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?62.33,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用9787302415763祁瑞华 著清华大学出版社97873024 ,祁瑞华 著 /2000-01-01  /清华大学出版社,?59.53,width: 0%;,0条评论
" 【新华书店】白话机器学习算法,[新加坡] 黄莉婷 苏川集,人民邮电出版社, 9787115506641 ",[新加坡] 黄莉婷 苏川集 /2019-02-01  /人民邮电出版社,?44.33,width: 0%;,0条评论
" 实用机器学习 Henrik Brink, Joseph W. Richards, Mark Fetherolf 978 【正版品好 可开发票 支持退货 多买优惠】请看详情，有问题咨询在线客服或者电话联系我们！","Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?68.00,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用 祁瑞华 清华大学出版社【正版书籍 选购无忧】 全店满89随机赠送图书一本！（详问客服）,祁瑞华 /2015-12-01  /清华大学出版社,?63.00,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用 祁瑞华 清华大学出版社 9787302415763 【正版图书，质量保证，可开发票，放心购买】,祁瑞华 /2015-12-01  /清华大学出版社,?27.00,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用 祁瑞华 （有问题请联系客服）,祁瑞华 /2015-12-01  /清华大学出版社,?67.50,width: 0%;,0条评论
" 实用机器学习 Henrik Brink, Joseph W. Richards, Mark Fetherolf 机械工 【正版书籍 闪电发货 优质服务 电子发票 放心下单】","Henrik Brink, Joseph W. Richar /2017-06-01  /机械工业出版社",?69.00,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用清华大学出版社祁瑞华 著【急速发货】 ,祁瑞华 著 /2000-01-01  /清华大学出版社,?59.62,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用9787302415763清华大学出版社祁瑞华 著【活动秒杀】 ,祁瑞华 著 /2000-01-01  /清华大学出版社,?59.68,width: 0%;,0条评论
 【正版包邮】随机送书签- 实用机器学习 苏尼拉?格拉普蒂（Sunila Gollapudi） 著，张世武 译 9787 此书为正版图书，正常48小时内发货，提供发票，请放心购买，团购量大请联系在线客服或15671107107,苏尼拉?格拉普蒂（Sunila Gollapudi） 著，张 /2018-06-01  /机械工业出版社,?85.35,width: 0%;,0条评论
 图解机器学习 日本 杉山将 图解机器入门指南 图解机器 计算机书籍 matlab基础入门 程序设计基础知识 算法入门基 ,杉山将 /2019-09-30  /人民邮电出版社,?47.00,width: 0%;,0条评论
" 实用机器学习 Henrik Brink, Joseph W. Richards, Mark Fetherolf 机械工 【正版现货 可开发票 下单即发】请看详情，有问题咨询在线客服或者电话联系我们！","Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?69.00,width: 0%;,0条评论
 白话机器学习的数学 Python机器学习实战算法神经网络与机器学习人人工智能入门教程深度学习算法大数据挖掘程序设计 ,[日]立石贤吾 /2020-06-01  /人民邮电出版社,?47.00,width: 0%;,0条评论
